timestamps,WheelBasedVehicleSpeed
0.0,255.99609375
0.00949999992735684,255.99609375
0.05089999991469085,255.99609375
0.06384999980218709,0.0
0.09994999994523823,255.99609375
0.1095000000204891,255.99609375
0.1505499999038875,255.99609375
0.16399999987334013,0.0
0.19984999997541308,255.99609375
0.2095499997958541,255.99609375
0.25069999997504056,255.99609375
0.2638499999884516,0.0
0.2998999999836087,255.99609375
0.30944999982602894,255.99609375
0.35134999989531934,255.99609375
0.36334999999962747,0.0
0.40124999987892807,255.99609375
0.4110999999102205,255.99609375
0.4506999999284744,255.99609375
0.46404999983496964,0.0
0.5,255.99609375
0.5094999999273568,255.99609375
0.5572999999858439,255.99609375
0.5633999998681247,0.0
0.6006999998353422,255.99609375
0.6104999999515712,255.99609375
0.6509999998379499,255.99609375
0.663399999961257,0.0
0.7007999999914318,255.99609375
0.7105499999597669,255.99609375
0.7506999999750406,255.99609375
0.7633499999064952,0.0
0.8007000000216067,255.99609375
0.8105499998200685,255.99609375
0.8506499999202788,255.99609375
0.8633499999996275,0.0
0.9007499997969717,255.99609375
0.9105499999132007,255.99609375
0.9513499999884516,255.99609375
0.9633499998599291,0.0
1.0007999998051673,255.99609375
1.010550000006333,255.99609375
1.0507000000216067,255.99609375
1.0633499999530613,0.0
1.1006999998353422,255.99609375
1.1105499998666346,255.99609375
1.1512999997939914,255.99609375
1.1647499999962747,0.0
1.2010999999474734,255.99609375
1.2105499999597669,255.99609375
1.2511999998241663,255.99609375
1.2644999998155981,0.0
1.30074999993667,255.99609375
1.3105499998200685,255.99609375
1.3510499999392778,255.99609375
1.3644999999087304,0.0
1.4018999999389052,255.99609375
1.411799999885261,255.99609375
1.450650000013411,255.99609375
1.4651499998290092,0.0
1.5008999998681247,255.99609375
1.5109499997925013,255.99609375
1.5572499998379499,255.99609375
1.5634500000160187,0.0
1.600849999813363,255.99609375
1.6106000000145286,255.99609375
1.650849999859929,255.99609375
1.6634499998763204,0.0
1.7007999999914318,255.99609375
1.7105999998748302,255.99609375
1.7508999998681247,255.99609375
1.7634499999694526,0.0
1.8010499998927116,255.99609375
1.8105999999679625,255.99609375
1.8510999998543411,255.99609375
1.8634499998297542,0.0
1.9007499997969717,255.99609375
1.9105999998282641,255.99609375
1.9510499997995794,255.99609375
1.9634499999228865,0.0
2.0007999998051673,255.99609375
2.0105999999213964,255.99609375
2.051099999807775,255.99609375
2.0634500000160187,0.0
2.1007999998982996,255.99609375
2.1106000000145286,255.99609375
2.1511499998159707,255.99609375
2.163599999854341,0.0
2.2010999999474734,255.99609375
2.2106500000227243,255.99609375
2.2512499999720603,255.99609375
2.2634499999694526,0.0
2.3010499998927116,255.99609375
2.3106999997980893,255.99609375
2.351299999980256,255.99609375
2.3634999999776483,0.0
2.40224999981001,255.99609375
2.4120999998413026,255.99609375
2.4518499998375773,255.99609375
2.463749999878928,0.0
2.5010999999940395,255.99609375
2.5109999999403954,255.99609375
2.5582500000018626,255.99609375
2.5641499999910593,0.0
2.601099999854341,255.99609375
2.610649999929592,255.99609375
2.6507999999448657,255.99609375
2.6635499999392778,0.0
2.701149999862537,255.99609375
2.710749999852851,255.99609375
2.750999999931082,255.99609375
2.7635499997995794,0.0
2.801149999955669,255.99609375
2.810649999883026,255.99609375
2.850699999835342,255.99609375
2.8634999999776483,0.0
2.9011499998159707,255.99609375
2.910649999976158,255.99609375
2.9506999999284744,255.99609375
2.963549999985844,0.0
3.001149999909103,255.99609375
3.0106499998364598,255.99609375
3.051099999807775,255.99609375
3.0635999999940395,0.0
3.101150000002235,255.99609375
3.110649999929592,255.99609375
3.150599999818951,255.99609375
3.1636999999172986,0.0
3.201149999862537,255.99609375
3.2106999999377877,255.99609375
3.2508999998681247,255.99609375
3.2643499998375773,0.0
3.3009999999776483,255.99609375
3.3106999997980893,255.99609375
3.35204999987036,255.99609375
3.36379999993369,0.0
3.40224999981001,255.99609375
3.4121499999891967,255.99609375
3.4512999998405576,255.99609375
3.463899999856949,0.0
3.501149999909103,255.99609375
3.5110499998554587,255.99609375
3.559449999826029,255.99609375
3.5644999998621643,0.0
3.601150000002235,255.99609375
3.6107499999925494,255.99609375
3.651249999878928,255.99609375
3.664600000018254,0.0
3.7010999999474734,255.99609375
3.7106999999377877,255.99609375
3.7506499998271465,255.99609375
3.764649999793619,0.0
3.8010499998927116,255.99609375
3.8107499999459833,255.99609375
3.8507999998982996,255.99609375
3.864649999886751,0.0
3.9011499998159707,255.99609375
